First Name,Gender,Start Date,Last Login Time,Salary, Bonus % ,Senior Management,Team
Douglas,Male,08-06-1993,12:42 PM,97308, 7 ,TRUE,Marketing
Thomas,Male,3/31/1996,6:53 AM,61933, 4 ,TRUE,
Maria,Female,4/23/1993,11:17 AM,130590, 12 ,FALSE,Finance
Jerry,Male,03-04-2005,1:00 PM,138705, 9 ,TRUE,Finance
Larry,Male,1/24/1998,4:47 PM,101004, 1 ,TRUE,Client Services
Dennis,Male,4/18/1987,1:35 AM,115163, 10 ,FALSE,Legal
Ruby,Female,8/17/1987,4:20 PM,65476, 10 ,TRUE,Product
,Female,7/20/2015,10:43 AM,45906, 12 ,,Finance
Angela,Female,11/22/2005,6:29 AM,95570, 19 ,TRUE,Engineering
Frances,Female,08-08-2002,6:51 AM,139852, 8 ,TRUE,Business Development
Louise,Female,08-12-1980,9:01 AM,63241, 15 ,TRUE,
Julie,Female,10/26/1997,3:19 PM,102508, 13 ,TRUE,Legal
Brandon,Male,12-01-1980,1:08 AM,112807, 17 ,TRUE,Human Resources
Gary,Male,1/27/2008,11:40 PM,109831, 6 ,FALSE,Sales
Kimberly,Female,1/14/1999,7:13 AM,41426, 15 ,TRUE,Finance
Lillian,Female,06-05-2016,6:09 AM,59414, 1 ,FALSE,Product
Jeremy,Male,9/21/2010,5:56 AM,90370, 7 ,FALSE,Human Resources
Shawn,Male,12-07-1986,7:45 PM,111737, 6 ,FALSE,Product
Diana,Female,10/23/1981,10:27 AM,132940, 19 ,FALSE,Client Services
Donna,Female,7/22/2010,3:48 AM,81014, 2 ,FALSE,Product
Lois,,4/22/1995,7:18 PM,64714, 5 ,TRUE,Legal
Matthew,Male,09-05-1995,2:12 AM,100612, 14 ,FALSE,Marketing
Joshua,,03-08-2012,1:58 AM,90816, 19 ,TRUE,Client Services
,Male,6/14/2012,4:19 PM,125792, 5 ,,
John,Male,07-01-1992,10:08 PM,97950, 14 ,FALSE,Client Services
,Male,10-08-2012,1:12 AM,37076, 19 ,,Client Services
